term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
admirers,0.050000000149907645,0.05,2.977069936103058,0.05,0.05,0.05000000081550827,0.05,0.530003009178351,0.05,0.050000000424724314,0.05,0.05,0.05000000031867146,0.05000000024847422,0.05,0.05,2.04164730506476,0.05,0.05,2.651279747677468
adult,0.05,0.6534557343474966,0.05,0.05,0.05,0.05000000080024722,0.05,6.327528421528023,0.05,0.05000000010219524,0.2863540261192689,0.05,1.1917307648865472,0.05000000016666192,0.3305929775731102,0.05,0.5598874980863175,0.05,0.05,1.0004505763494367
adults,0.05,0.05,1.0500000000249687,0.05,0.05,0.05,0.05,0.050000000226415084,1.0500000000303136,0.05,0.050000000422714894,0.05,2.7587460483162376,0.05,0.3412539508065829,0.05,2.0499999994991307,0.05,0.05,0.05000000065295229
advantage,1.634720179919015,1.0499999999718166,0.05,0.05,1.0500000000911773,0.05,0.05,2.854398046306117,0.05,0.05000000234544839,1.313315173096757,0.05,3.88817917863234,2.01804826098491,7.872090711161798,0.05000000015271734,2.5918193579277977,1.188342660800493,0.05,0.08908642857230437
adventure,0.05000000004781134,0.05000000052709211,0.050000000311714664,0.05,0.05,0.050000001193844644,0.05,7.644661029182212,0.05,1.8108870341208536,0.5240178832851125,0.05,0.05000000032049394,0.05,5.208415468478835,0.050000000160141764,0.05,0.0500000005269636,0.05,1.062018581811102
advice,0.05000000029525443,1.7767319578364846,0.05,0.05,0.9749785584378482,0.8147785500575232,0.05,5.308440972663607,1.244619709931754,0.05000000062004575,0.40520194016280564,0.05,0.050000002497818476,0.05000000007206593,16.87235828452631,0.0500000001834479,0.11923756885917312,0.050000000093122554,0.05,7.933652453724376
affair,0.050232102859869725,0.05000000009005146,0.05,0.05,0.05,0.05,0.05,1.074195468146218,0.05000000182611741,0.05000000266488205,0.05000000050852086,0.05,1.2776369594650778,0.05,4.603085244701848,0.05000000036969467,0.05,1.2448502180065797,0.05,0.05000000132826581
affection,0.05,0.050000000640784234,1.2157496392454996,0.05,0.05,0.05000000062669908,0.05,3.5271045668519294,0.05000000041782431,0.05,0.050000000500032726,0.05,0.8532603495572811,0.05,0.05000020009757292,0.05,0.7954976094601823,0.05000000025729558,1.050000000058983,2.858387632256926
afford,0.05,1.9180250691586622,0.05,0.05,0.05,0.05,0.05,1.9781309630009982,0.05,0.050000000651768545,3.6580154140422776,0.05,0.05000000008846189,0.05000000101189797,1.2486525406408904,0.05,0.05,0.05,0.05,1.44717601136959
afraid,0.050000258209660885,1.0499999999600416,0.05,0.05,1.0500000000936636,0.05,0.05,5.9051185130131545,0.05,0.05000000045449186,1.2495469189508173,0.05,1.20609006909135,1.4148983249397251,9.428293277559813,0.05000000008010494,2.784340906816084,0.05,0.05,3.3617117307934814
aftermath,0.05,0.05000000136788018,0.05,0.05,0.05,0.05,0.05,4.588723675539726,0.05000000013730322,0.05000000046602973,0.0500000010020094,0.05,0.05000000040585346,0.05273740582354372,1.792997020035646,1.1006479108089178,0.0500000005677555,0.7148939836164232,0.05,0.05000000019882502
afternoon,0.051165708716476785,3.7294048727432836,0.20494898175065174,0.05,0.0578157334355679,0.05028893756138181,0.05,22.68993457251456,0.05000000024486182,6.733895950567788,4.9201126247132,0.05,2.0513617653924983,1.510513437572029,53.561530542067956,0.05000000011484262,3.766654614437301,4.06989147812869,3.050000000313357,5.30248077969039
afterward,0.05,0.05000000003974985,0.05,0.05,0.05,0.05,0.05,0.7874521973835259,0.05,0.05,0.050000000832426214,0.05,0.05000000041702398,0.05000000042492234,6.287045907471385,0.05,1.0755018932123297,0.05,0.05,0.05000000019403519
age,3.953568834670061,1.724051454468679,3.1993901453235796,0.05,0.050000000105046565,2.704533981020605,0.05,25.503381177781588,0.05000000002290765,0.05000000000638146,3.9347365490720563,0.05,2.212536763372933,2.0500000000245406,14.891654930585164,0.05000000006619054,6.743422272219692,0.05000000018753706,0.8819707528080566,11.800753138229762
ages,0.9501022579038018,0.8299458952646543,0.050000000353047275,0.05,0.6456086539417651,0.05,0.05,7.610260230150067,1.3318043359302256,7.835068169215894,0.664048591794596,0.05,1.2441434804149163,0.05000000018292167,27.69708853513746,0.050000002150374104,3.7439163719801622,0.21818433125570696,0.05000000001162358,1.8298291442779782
aghast,0.050000001711934534,0.05000000038557092,0.05000000021587212,0.05,0.05,0.05,0.05,0.05223793897486202,0.05,0.05,0.05000031890584876,0.05,0.05000000034546794,0.05,7.116666069187745,0.05000000010887845,0.05,0.05000000033915695,0.05000000004288675,3.981095669760187
agony,1.0827067705822784,1.0141902929464164,0.05000000016626414,0.05,0.05,1.4437903293969676,0.05,0.050100059520049194,1.540391665280165,0.050000001004138026,2.7978270367007303,0.05,1.5813706001585262,0.05,3.714246722028642,0.05000000007684694,0.05000000010152619,0.05000000009457276,0.05000000002050697,8.225376521890873
agreement,0.050000000121001316,0.05003641801762075,0.05,0.05,1.0500000000468552,0.05,0.05,0.07985994364571901,0.05,2.650999618615017,1.7347736161999086,0.05,0.050000000037143486,2.161906268025465,4.62242413429283,0.0500000003889584,0.05000000035543469,0.05,0.05,0.0500000002327456
